intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,p99_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
32,32,128,8,0,5000000,10000,24.168403387069702,10,0.0007150530815124507,15798.51064884862,0.877,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,128,16,0,5000000,10000,24.107187271118164,10,0.0007596921920776361,15373.9119014309,0.89518,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,128,32,0,5000000,10000,24.09761619567871,10,0.0008405089378356921,14886.807535901778,0.92561,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,128,64,0,5000000,10000,24.130303621292114,10,0.0012128353118896484,11340.148634642586,0.93795,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,1,0,5000000,10000,24.213939428329468,10,0.0008037972450256354,14650.97020922969,0.91282,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,2,0,5000000,10000,24.1611225605011,10,0.0007849597930908205,14801.487109961308,0.91251,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,4,0,5000000,10000,24.167380571365356,10,0.0008022928237915042,14782.566331317908,0.91235,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,8,0,5000000,10000,24.18520498275757,10,0.0008164215087890624,14617.842338449864,0.91154,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,16,0,5000000,10000,24.149134874343872,10,0.0008172988891601562,14812.54612049833,0.91186,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,32,0,5000000,10000,24.148906707763672,10,0.0008033633232116724,15104.894281670337,0.92493,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,256,64,0,5000000,10000,24.201396942138672,10,0.001153280735015869,11197.579120297107,0.93781,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,1,0,5000000,10000,24.141963720321655,10,0.0008849430084228518,14513.729870072748,0.93181,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,2,0,5000000,10000,24.22080135345459,10,0.0008879661560058571,14262.570965218949,0.93122,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,4,0,5000000,10000,24.19049382209778,10,0.000897684097290039,14401.406679718773,0.93162,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,8,0,5000000,10000,24.133410453796387,10,0.0009090590476989744,14379.615170978295,0.93162,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,16,0,5000000,10000,24.238075494766235,10,0.0008826255798339844,14432.446845116632,0.93129,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,32,0,5000000,10000,24.19364070892334,10,0.0008912420272827156,14389.428319906325,0.93148,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,512,64,0,5000000,10000,24.12844944000244,10,0.0011629343032836907,11261.757602294678,0.93753,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
