M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
32,32,256,5000000,10000,48.51172351837158,0.777559757232666,0.03864072799682616,14663.754269280793,100,0.83353,2.1,2.5,1.80743408203125
32,32,512,5000000,10000,48.02231192588806,1.2245266437530518,0.04696904420852663,11325.48288497103,100,0.86447,2.1,2.5,1.80743408203125
32,32,768,5000000,10000,48.124778509140015,1.6684291362762451,0.05492544174194337,9390.215707729054,100,0.87918,2.1,2.5,1.80743408203125
32,32,1024,5000000,10000,48.181174516677856,2.1275389194488525,0.06814216136932373,7771.414621200353,100,0.88735,2.1,2.5,1.8072357177734375
32,64,8,5000000,10000,42.801557302474976,0.3753039836883545,0.02757613182067871,19832.03013620311,100,0.37142,2.1,2.5,1.80743408203125
32,64,16,5000000,10000,41.574615240097046,0.38970136642456055,0.028267745971679685,19586.599190066587,100,0.48053,2.1,2.5,1.80743408203125
32,64,32,5000000,10000,42.76035952568054,0.4358060359954834,0.02868974208831787,19469.58520327275,100,0.58199,2.1,2.5,1.8073539733886719
32,64,64,5000000,10000,46.998310804367065,0.5007691383361816,0.028441786766052246,19160.189654915077,100,0.66211,2.1,2.5,1.8071022033691406
32,64,128,5000000,10000,46.85163068771362,0.5392935276031494,0.030698325634002675,18196.4547826299,100,0.72825,2.1,2.5,1.8073043823242188
32,64,256,5000000,10000,47.02827835083008,0.6558547019958496,0.03408548831939699,16840.034723122673,100,0.77395,2.1,2.5,1.80743408203125
32,64,512,5000000,10000,47.452603816986084,0.937553882598877,0.03969237327575686,14022.180325660242,100,0.80942,2.1,2.5,1.80743408203125
32,64,768,5000000,10000,44.165133237838745,1.2443997859954834,0.04363806247711179,11924.72306838415,100,0.82641,2.1,2.5,1.8072052001953125
32,64,1024,5000000,10000,40.76332902908325,1.4449193477630615,0.04760598897933958,10954.313031444986,100,0.82861,2.1,2.5,1.8074493408203125
32,128,8,5000000,10000,98.61959624290466,0.4238893985748291,0.026855463981628427,20077.125033114375,100,0.42191,2.1,2.5,1.80743408203125
32,128,16,5000000,10000,100.64001131057739,0.4789774417877197,0.028394641876220695,19596.37647558589,100,0.5339,2.1,2.5,1.8074417114257812
32,128,32,5000000,10000,100.20003056526184,0.5390846729278564,0.02864142894744873,19516.094987548408,100,0.63426,2.1,2.5,1.8074378967285156
32,128,64,5000000,10000,100.45895218849182,0.5038130283355713,0.0296658682823181,18608.538587168885,100,0.71354,2.1,2.5,1.8073921203613281
32,128,128,5000000,10000,99.7572910785675,0.6038403511047363,0.03191802501678467,17687.69088656249,100,0.77058,2.1,2.5,1.8069419860839844
32,128,256,5000000,10000,98.08519124984741,0.74294114112854,0.03508967638015747,15976.700619535563,100,0.81037,2.1,2.5,1.8072624206542969
32,128,512,5000000,10000,85.11701250076294,1.0433313846588135,0.04119680881500244,12998.069337076782,100,0.83469,2.1,2.5,1.8073997497558594
32,128,768,5000000,10000,83.39975166320801,1.3692348003387451,0.04620637893676758,11028.731919465683,100,0.84137,2.1,2.5,1.80743408203125
32,128,1024,5000000,10000,84.72110772132874,1.7164781093597412,0.054958820343017585,9752.567096579101,100,0.84598,2.1,2.5,1.80743408203125
32,256,8,5000000,10000,212.59043312072754,0.45244479179382324,0.02773020029067993,20041.021747825132,100,0.4518,2.1,2.5,1.80743408203125
32,256,16,5000000,10000,200.99479269981384,0.45740437507629395,0.02805544853210449,19691.523092589945,100,0.56364,2.1,2.5,1.80743408203125
32,256,32,5000000,10000,202.13911986351013,0.4898519515991211,0.028927812576293947,19044.38766923729,100,0.66544,2.1,2.5,1.80743408203125
32,256,64,5000000,10000,200.93734455108643,0.5383820533752441,0.02905745029449462,18440.706725906683,100,0.7426,2.1,2.5,1.80743408203125
32,256,128,5000000,10000,188.89308166503906,0.6125092506408691,0.03130616664886474,17261.64447295336,100,0.80118,2.1,2.5,1.80743408203125
32,256,256,5000000,10000,189.69994854927063,0.8110396862030029,0.03862215042114257,14912.444837658304,100,0.83052,2.1,2.5,1.8074378967285156
32,256,512,5000000,10000,194.17848825454712,1.2852904796600342,0.043418581485748294,12054.310717159176,100,0.84801,2.1,2.5,1.8070869445800781
32,256,768,5000000,10000,201.11210584640503,1.7487714290618896,0.05269175052642823,9772.114180055272,100,0.84868,2.1,2.5,1.8070640563964844
32,256,1024,5000000,10000,185.06523084640503,2.2148334980010986,0.06308058738708495,8069.839561733325,100,0.85798,2.1,2.5,1.807281494140625
32,512,8,5000000,10000,410.6604993343353,0.44733309745788574,0.027452616691589347,19634.11626776167,100,0.46193,2.1,2.5,1.8071060180664062
32,512,16,5000000,10000,406.947425365448,0.42504048347473145,0.028397035598754894,19563.537400934238,100,0.57903,2.1,2.5,1.8072319030761719
32,512,32,5000000,10000,395.90468525886536,0.4963376522064209,0.029318628311157204,19088.740697983718,100,0.68082,2.1,2.5,1.8072891235351562
32,512,64,5000000,10000,431.97880387306213,0.5868380069732666,0.03087268829345702,18146.95149421692,100,0.75946,2.1,2.5,1.8074493408203125
32,512,128,5000000,10000,416.6463212966919,0.6513030529022217,0.034213573932647706,16755.811299839163,100,0.80897,2.1,2.5,1.8071060180664062
32,512,256,5000000,10000,420.9097857475281,0.8892109394073486,0.04037945032119751,14205.252534952593,100,0.83933,2.1,2.5,1.80743408203125
32,512,512,5000000,10000,378.664968252182,1.3717131614685059,0.04811102867126471,11028.290251702967,100,0.85191,2.1,2.5,1.8073883056640625
32,512,768,5000000,10000,418.5129818916321,1.843553066253662,0.05803332567214966,8726.34719001524,100,0.85484,2.1,2.5,1.80743408203125
32,512,1024,5000000,10000,421.7574167251587,2.5866565704345703,0.07321582078933715,7215.127161706963,100,0.85749,2.1,2.5,1.8071670532226562
