M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
16,512,8,5000000,10000,257.7286944389343,0.4031100273132324,0.027196860313415522,19883.7562556978,100,0.26548,2.1,2.4,1.2118911743164062
16,512,16,5000000,10000,258.7030084133148,0.44368505477905273,0.028121814727783207,19535.78922941921,100,0.37569,2.1,2.4,1.2120018005371094
16,512,32,5000000,10000,246.43577361106873,0.4080197811126709,0.02915523290634154,19357.123893780048,100,0.49781,2.1,2.4,1.2120018005371094
16,512,64,5000000,10000,281.6130964756012,0.46543025970458984,0.028512525558471672,18874.26569369468,100,0.60821,2.1,2.4,1.2119674682617188
16,512,128,5000000,10000,278.57401967048645,0.5376553535461426,0.0313282060623169,17523.01384076999,100,0.70044,2.1,2.4,1.2117347717285156
16,512,256,5000000,10000,261.2901358604431,0.6867697238922119,0.03534989356994628,16146.389253328456,100,0.76578,2.1,2.4,1.2116432189941406
16,512,512,5000000,10000,257.381760597229,0.9710936546325684,0.04139971971511843,13521.1661936633,100,0.80988,2.1,2.4,1.2122421264648438
16,512,768,5000000,10000,272.4647183418274,1.2586755752563477,0.04508752822875977,11345.803324999304,100,0.81914,2.1,2.4,1.2119979858398438
16,512,1024,5000000,10000,255.25755500793457,1.459057092666626,0.05092585086822509,10091.28051565836,100,0.83273,2.1,2.4,1.2122154235839844
32,32,8,5000000,10000,47.031760931015015,0.42572855949401855,0.02818457841873169,19749.201201186905,100,0.32226,2.1,2.5,1.8073616027832031
32,32,16,5000000,10000,44.482661962509155,0.4040234088897705,0.027753543853759766,19579.14244574943,100,0.43308,2.1,2.5,1.8072357177734375
32,32,32,5000000,10000,48.210259437561035,0.4514341354370117,0.027896463871002197,19215.05679329413,100,0.54281,2.1,2.5,1.8073310852050781
32,32,64,5000000,10000,48.173861503601074,0.4805910587310791,0.030066280364990237,18296.056165444515,100,0.65248,2.1,2.5,1.80743408203125
32,32,128,5000000,10000,48.50361752510071,0.5759103298187256,0.03348318338394165,16956.872163156564,100,0.73663,2.1,2.5,1.8074378967285156
32,32,256,5000000,10000,48.089632987976074,0.7791340351104736,0.03934631586074829,14516.400963875703,100,0.80238,2.1,2.5,1.80743408203125
32,32,512,5000000,10000,45.97492337226868,1.201263189315796,0.046181139945983884,11449.773805366493,100,0.85047,2.1,2.5,1.80743408203125
32,32,768,5000000,10000,42.38718104362488,1.5148377418518066,0.05289397239685058,9552.99035011941,100,0.87244,2.1,2.5,1.80743408203125
32,32,1024,5000000,10000,42.98706412315369,1.9281225204467773,0.06477120637893674,7968.659826841251,100,0.88597,2.1,2.5,1.8074226379394531
32,64,8,5000000,10000,40.395416259765625,0.37915849685668945,0.027993178367614738,19670.04746714066,100,0.27255,2.1,2.5,1.8074378967285156
32,64,16,5000000,10000,46.552363872528076,0.38544273376464844,0.027856945991516113,19726.23784455902,100,0.37831,2.1,2.5,1.8074913024902344
32,64,32,5000000,10000,46.87863850593567,0.42824292182922363,0.027907285690307614,19635.32607801865,100,0.48976,2.1,2.5,1.80731201171875
32,64,64,5000000,10000,47.13701128959656,0.4777684211730957,0.028709840774536134,19181.1333526966,100,0.58877,2.1,2.5,1.8073196411132812
32,64,128,5000000,10000,47.302079916000366,0.5093145370483398,0.02934574127197267,18309.84796734532,100,0.67579,2.1,2.5,1.80743408203125
32,64,256,5000000,10000,47.31738591194153,0.6677255630493164,0.0335609269142151,16772.518496783865,100,0.74026,2.1,2.5,1.8074378967285156
32,64,512,5000000,10000,47.18186068534851,0.9331583976745605,0.04006699562072751,14151.270368650252,100,0.792,2.1,2.5,1.8073616027832031
32,64,768,5000000,10000,46.91740655899048,1.2219512462615967,0.04348073959350586,12228.847434964022,100,0.80994,2.1,2.5,1.8070716857910156
32,64,1024,5000000,10000,46.94394278526306,1.5593767166137695,0.0476659893989563,10971.212463672413,100,0.82167,2.1,2.5,1.8073654174804688
32,128,8,5000000,10000,100.3771059513092,0.4671599864959717,0.0272460985183716,19801.811334680297,100,0.31267,2.1,2.5,1.8071136474609375
32,128,16,5000000,10000,88.02615261077881,0.45998263359069824,0.027971382141113284,19502.113589775036,100,0.42236,2.1,2.5,1.8074913024902344
32,128,32,5000000,10000,85.31649541854858,0.4242691993713379,0.02894444704055786,19299.016259259497,100,0.5359,2.1,2.5,1.8072319030761719
32,128,64,5000000,10000,85.47006750106812,0.4729652404785156,0.029163236618041974,18390.528179595003,100,0.64286,2.1,2.5,1.80706787109375
32,128,128,5000000,10000,87.82660865783691,0.5757038593292236,0.03086083412170411,17766.628030104897,100,0.72393,2.1,2.5,1.8070716857910156
