intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,avg_query_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
64,64,128,2,0,5000000,10000,28.456088066101074,10,0.001504802703857422,9858.642632643277,0.9541,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,128,4,0,5000000,10000,28.527785301208496,10,0.0014763855934143066,9873.133910749706,0.9542,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,128,8,0,5000000,10000,28.489618062973022,10,0.0015288352966308632,9847.428473212287,0.95375,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,128,16,0,5000000,10000,28.501794576644897,10,0.001455659866333005,9993.325138625602,0.95469,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,128,32,0,5000000,10000,28.446359872817993,10,0.0014743709564208982,9950.208394504734,0.95357,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,128,64,0,5000000,10000,28.480618000030518,10,0.0014434289932250956,9973.088045104434,0.95446,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,1,0,5000000,10000,28.55542254447937,10,0.0017764377593994132,9083.373737751139,0.96641,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,2,0,5000000,10000,28.499326944351196,10,0.0017744874954223628,9097.269878928128,0.96609,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,4,0,5000000,10000,28.546918392181396,10,0.0017551112174987791,9091.199276861622,0.96578,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,8,0,5000000,10000,28.47911524772644,10,0.0017361164093017594,8981.575956077962,0.96569,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,16,0,5000000,10000,28.49250292778015,10,0.0017580509185791023,9002.937588442206,0.96568,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,32,0,5000000,10000,28.52009630203247,10,0.0017260646820068358,9092.493093161696,0.96569,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,256,64,0,5000000,10000,28.465338468551636,10,0.0017272973060607896,9001.217088408474,0.96571,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
